business_id,full_address,active,categories,review_count,business_name,latitude,longitude,stars,,
5jkZ3-nUPZxUvtcbr8Uw,1336 N Scottsdale Rd Scottsdale AZ 85257,TRUE,Greek Restaurants,11,George's Gyros Greek Grill,33.463373,-111.926908,4.5,,
BlvDO_RG2yElKu9XA1_g,14870 N Northsight Blvd Ste 103 Scottsdale AZ 85260,TRUE,Sushi Bars Hawaiian Chinese Restaurants,37,Asian Island,33.621463,-111.898305,4,, 
-0bUDim5OGuv8R0Qqq6J4A,7023 N 19th Avenue Phoenix AZ 85021,TRUE,Restaurants,6,International House of Pancakes,33.539644,-112.09936,2.5,,
-0D_CYhlD2ILkmLR0pBmnA,9832 W Northern Ave Ste 1660 Peoria AZ 85345,TRUE,Food Specialty Food,5,Olive Gourmet,33.551505,-112.269802,4,,
-0QBrNvhrPQCaeo7mTo0zQ,2526 W Van Buren Street Phoenix AZ 85009,TRUE,Restaurants,3,La Salcita,33.451163,-112.11428,4.5,,
-0xwm_AwS0d_5rwUprHGuw,1710 W Southern Ave Ste B7 Mesa AZ 85202,TRUE,Food Coffee & Tea,16,Cup O'Karma,33.39326,-111.868606,4,,
-1-sUowC7fJ-cn7mCxvJ5w,7121 E 5th Ave Ste 1 Scottsdale AZ 85251,TRUE,Shopping,3,The Angel Store & More...,33.497981,-111.927413,2.5,,
-1bOb2izeJBZjHC7NWxiPA,61 W Thomas Rd Phoenix AZ 85013,TRUE,Breakfast & Brunch Sandwiches Restaurants,51,First Watch,33.480112,-112.07718,3.5,,
-1N0Z3uM8xbxKS8XiAnaog,7047 E Greenway Parkway Suite 250 Scottsdale AZ 85254,TRUE,,3,Corporate Office Centers,33.622546,-111.92857,2.5,,
-2xCV0XGD9NxfWaVwA1-DQ,9008 N 99th Ave Peoria AZ 85345,TRUE,Pizza Restaurants,4,Nino's Pizzeria 2,33.566264,-112.276615,4,,
-34jE_5dujSWMIOBudQsiQ,9377 E Bell Rd Scottsdale AZ 85260,TRUE,Doctors Health & Medical Obstetricians & Gynecologists,4,Dairiki Tami MD,33.637203,-111.882191,5,,
-3WVw1TNQbPBzaKCaQQ1AQ,302 E Flower St Phoenix AZ 85012,TRUE,Chinese Restaurants,145,China Chili,33.48585,-112.069181,3.5,,
-3xbryp44xhpN4BohxXDdQ,21001 N Tatum Blvd Phoenix AZ 85050,TRUE,Bars Steakhouses Nightlife Restaurants,65,The Keg Steakhouse & Bar,33.678615,-111.974607,3.5,,
