user_id,name,average_stars,review_count
--5hzxWLz5ozIg6OMo6tpQ,Diane,2.67,11
--65q1FpAL_UQtVZ2PTGew,Nader,4.16,187
--AqBuo717RyacADExYbSA,Josh,5,1
--dofeOsROFpm0q_dmqTTA,VIVIAN,4.5,2
--lMCM6K8-9NTvPlbCMXEA,Anne Marie,3.58,19
--LzFD0UDbYE-Oho3AhsOg,Shumai,3.9,31
--M-cIkGnH1KhnLaCOmoPQ,Emma,3.6,6
--RD0Z_F0tV4L-AzhOzXYA,Michael,3.91,68
--rlgfAvvi0BtfRDA1p-VQ,Alexander,4.56,9
--VxRvXk3b8FwsSbC2Zpxw,Bruce,4.12,26
--xayi5_x00uSNZZGQgY6A,Mark,3.32,141
-01H9S7YxFrhRgNdvxmaVQ,Marc,5,2
-06LYbA4Qm_9E83KNT1Jrg,Brett,4.71,7
-0D3oSKIIWCTtii9ggLpcw,Allison,5,1
-0gh7015nDOhZlwzlNNxwA,Clinton,4.09,11
-0heMfd5ngN1qm3vrVL83g,Azita,5,1
-0Js-tuVNbipC-AG_1lfbw,Jason,4.5,2
-0nLkzsZsFiX3nE4UKw5vg,Emily,4.31,67
-0stzn_U5HE0pkIaU1YKPA,Jason,4.67,3
-0t6A5EL5CCX1EFu5VxPTg,Ravi,3,1
-0Ycl6yN0BsX1U70-SZOYw,Kate,4.62,8
-13pXxRgRAvi3j5U2JYduQ,Brice,3.85,235
-1Emre88jszSsXXvEljVLA,Erin,4.8,6
-1HphDKKAuMHu--9wM07IA,Holly,4.5,7
-1T3uY1yE-1dq0-5KKe0-A,Sean,2.8,5
-1wHRzKcr6c4t1Ani1Qt9g,Valerie,3.9,21
-24tMru5bOEJG7MeFwkdmw,Wendy,3.5,453
-2Be-3ceNndWD6PmQOLG6Q,Maria,4.25,12
-2gxrMHX8_F1Ep_ppWYTkw,Jennifer,3.4,15
-2Ig3GSBkj8JQT8eETmDPg,Ed,3.76,37
-2jevGd5B6dqAT7AwBW6lA,Paul,2.5,4
-2M6yunctiSDYj3KFCHR4w,Frida,4.75,4
-2mNBuY67QaGeUznM8Dssg,k,4.19,16
-2PFmYGWB6rQhZtRh6PlPA,M,2.83,23
-2R5j1KShy_WekhvCUEB1w,joshua,4.2,10
-2S6keboidRPly-h5lBfkA,Jeff,3.95,20
-2sGVnUcv9VXKOl3RgEG3w,Kristen,5,1
-2SvXhWIm1R7cf6nhHKKXg,Matthew,3.99,127
-2t8ibGjQP0SxrxTHokEsw,Mark,4.33,3
-2u23VxjDrJhHnPW8KxCyQ,Kelsey,4.5,4
-2VqtJTmSoGFQWFIuJVZzg,Shawn,4.07,15
-2XA34d6OGYEUuzqC7yhBg,Whitney,4.25,4
-32KkJr2LxkiQj0hk0XtdQ,James,4.45,11
-39Gyn0uR_NWyJayrviRpw,Glen,4,2
-3HkgwyxVPf49MXM4dT8Tw,Joshua,4.36,62
-3iCfNaLfDFNHbox8qQIdg,Cory,4.17,6
-3L9Nzd0Ad6-TR6-8vgMrQ,Cassandra,3,2
-3PEIZHovDzOvFXP_HskKA,Monica,5,1
-3wwuw0QAkq-7qm9BrpAHQ,Seann,4.38,8
-3xdOKU-5gx-p7Ggmkb4jg,Trejsi,4,1
-3xlj2ZDfN_4pcxHFKNdoQ,Mario,4.8,5
-3Y6h6ILNHxGJSQ9fITCAg,Kris,3.83,12
-3yavSqHchsUPyAp9LVBCw,Gabe,3.5,2
-41iNrsO8QModLPTQii9Sg,brittany,4,1
-42C9hm3QdH6Cf8-OM2vxQ,Betty,3.89,140
-45fAWrtwU4y-qoZIoyFig,will,4,8
-45GJdo8Ye8A1AStuUZp9Q,Jennifer,5,2
-46KjskBGhtqsmPxMBB2Ag,Frank,5,1
-494b8jvjlI07v9HheHhrw,Matt,3.67,18
-4IF4XLr-iFRzXXiMoDByQ,Bob,5,1
-4OUnNTAdvgV4tHdsARcvw,Heather,3.64,540
-4p4djWwMtve3yLfWbSVCw,Alan,5,1
-5-r7OGVBl5Sfk-FZp388g,SG,4.8,15
-50fOYTeDK4_9m4gZLHaIg,Pat,3.99,79
-52uGaONLC-U4aWaPO_mqg,Roz,4.27,11
-533euPHZXG982IzgFjZCw,Tom,3.12,52
-5DVq0fSQBsbXXGJaDNvWg,Bill,3.4,5
-5jT5hQxqse80SYeCsxbUg,Anita,4,1
-5M2EEPopiUv2Q87zfAo8Q,Heidi,3.5,3
-5NG0jJgKfHWZ94MOjD4Jg,Sara,1,2
-5r8_8w_6XHTEZ8nKhZZyA,Bill,3.23,339
-5rCakp3thm88zjMFTaEnw,Kenyatta,3.31,49
-5uMYNt_225hkiE49WtyLA,Sarah,3,2
-5z0r2fWbge7NQmYrsJ4lw,Bryan,4.09,342
-60vHk7tv7pc2aVTy5ff-w,Jenny,5,1
-69HRk_D8Hq3Ki1cagvDcA,Charles,2.57,23
-6f74MeztMVqdKBUQSM2gA,Stephanie,3.88,34
-6JRuWL1VIVsDtLztmFwjA,ThePartyPooper,2,4
-6PiX3-exeBBaJI02Wy6yQ,Mel,2.33,3
-6UZo-t_np-_K_tsUnTlMA,Paris,4.2,5
-6VXEHyZ9s0JFMQnVwbsPA,Kate,4.37,35
-6x3O55kPx4bucGPhDN1pw,Brooke,4.4,53
-6zNUBeN_ANP-ufk2c4lwQ,Nicole,3,9
-6ZUlcTFRg6jFMzkJdBK2w,Ali,3.71,31
-7JDe3dDexgYpcUOQ-tlaQ,Roxie,4.75,12
-7mraETtF6QZQ6y6MlYs3Q,Bob,3.17,18
-7QLQjEjDDcA_Zi2oUk1JA,Christopher,2.5,6
-82aYa5o3CejjuGGlHai1g,PJ,3,2
-85AJ9sZZ8abI2pzuFQC7g,Jennifer,5,2
-88wExFtc-abvLzu57VsFw,David,3.53,512
-8c6Yub0qiRyctRTnnN-JQ,Kendall,4.14,7
-8jyqvrDFH8tJYaED88SLA,Joe,4.33,94
-8kSIb5C3OEA7Y7O12g5Wg,Victoria,3.59,28
-8TJOybMc1b3t1u9Ii272A,Aimee,4.88,8
-8yRlFPiPQZNkMtsbjuIew,Melody,3.89,18
-8Ze8T2a_a1fdLZ6I9PBPA,PHILLIP,4,10
-98MhXthwWWltdjxnxMVSQ,Jane,5,1
-9ClFDYWET4dt0O22NHTIw,Joanne,3,7
-9g6w1xoj6-4iZH29P3h7g,Eric,3.83,8
-9GM9j1gbxOlsRPaHJT9jA,Jenny,3,2
-9HGBKEfcpEBGZdxACpk8g,John,3.14,14
-9lxIitFdDlKdUtguwNitA,Don,5,2
-9mj_tVyNkDGF0KWhG19MQ,Jennifer,5,1
-9mljS0O9mwdOnGv-Oea3Q,Brenda,2.89,148
-9MO-KwSuUNsfiu1by-uBQ,Vlad,3.15,86
-9NsC_ZjnmJr0KvoGAtKMA,Poppa,2.71,42
